preferred_term	identifier	ontology_label	occurrences	cas_rn_current	stated_hydration	known_hydrates	hydration_valid	cas_verdict	cas_correct_or_UNKNOWN	grounding_verdict	recommended_target_curie	action	confidence	notes	source_rows_in_culturemech	mediadive_compound_id	sssom_predicate_published	defect_origin
CaCl2 x 2 H2O	CHEBI:86158	calcium chloride dihydrate	4345	10035-04-8	dihydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	MATCHES_HYDRATE	10035-04-8	CORRECT	CHEBI:86158	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	4746	7	skos:exactMatch	NONE
MgSO4 x 7 H2O	CHEBI:31795	magnesium sulfate heptahydrate	4050	10034-99-8	heptahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate; undecahydrate	TRUE	MATCHES_HYDRATE	10034-99-8	CORRECT	CHEBI:31795	OK	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	4461	8	skos:closeMatch	NONE
Na2MoO4 x 2 H2O	CHEBI:75213	sodium molybdate dihydrate	3392	10102-40-6	dihydrate	dihydrate; decahydrate	TRUE	MATCHES_HYDRATE	10102-40-6	CORRECT	CHEBI:75213	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	3365	9	skos:closeMatch	NONE
Nickel (II) chloride hexahydrate	CHEBI:53542	nickel chloride hexahydrate	2954	7791-20-0	hexahydrate	dihydrate; tetrahydrate; hexahydrate; low-temperature heptahydrate	TRUE	MATCHES_HYDRATE	7791-20-0	CORRECT	CHEBI:53542	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	122	NA	skos:closeMatch	NONE
Cobalt chloride hexahydrate	CHEBI:53503	cobalt chloride hexahydrate	2388	7791-13-1	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	MATCHES_HYDRATE	7791-13-1	CORRECT	CHEBI:53503	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	123	NA	skos:closeMatch	NONE
MnCl2 x 4 H2O	CHEBI:86368	manganese(II) chloride tetrahydrate	2310	13446-34-9	tetrahydrate	dihydrate; tetrahydrate	TRUE	MATCHES_HYDRATE	13446-34-9	CORRECT	CHEBI:86368	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2552	36	skos:exactMatch	NONE
FeSO4 x 7 H2O	CHEBI:75836	iron(2+) sulfate heptahydrate	2296	7782-63-0	heptahydrate	monohydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	7782-63-0	CORRECT	CHEBI:75836	OK	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2208	12	skos:exactMatch	NONE
MgCl2 x 6 H2O	CHEBI:86345	magnesium dichloride hexahydrate	2292	7791-18-6	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate; octahydrate; dodecahydrate	TRUE	MATCHES_HYDRATE	7791-18-6	CORRECT	CHEBI:86345	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	3102	79	skos:closeMatch	NONE
CuCl2 x 2 H2O	CHEBI:86318	copper(II) chloride dihydrate	2150	10125-13-0	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	10125-13-0	CORRECT	CHEBI:86318	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2181	39	skos:exactMatch	NONE
ZnSO4 x 7 H2O	CHEBI:32312	zinc sulfate heptahydrate	2150	7446-20-0	heptahydrate	monohydrate; hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	7446-20-0	CORRECT	CHEBI:32312	OK	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	1976	35	skos:exactMatch	NONE
Na2S x 9 H2O	CHEBI:76209	sodium sulfide nonahydrate	1747	1313-84-4	nonahydrate	nonahydrate	TRUE	MATCHES_HYDRATE	1313-84-4	CORRECT	CHEBI:76209	OK	high	The named nonahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	2392	54	skos:exactMatch	NONE
Na2SeO3 x 5 H2O	CHEBI:131361	disodium selenite pentahydrate	1458	26970-82-1	pentahydrate	pentahydrate	TRUE	MATCHES_HYDRATE	26970-82-1	CORRECT	CHEBI:131361	OK	high	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	1394	107	skos:closeMatch	NONE
Na2WO4 x 2 H2O	CHEBI:63939	sodium tungstate dihydrate	1398	10213-10-2	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	10213-10-2	CORRECT	CHEBI:63939	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	1406	249	skos:exactMatch	NONE
FeCl2 x 4 H2O	CHEBI:86249	iron dichloride tetrahydrate	1305	13478-10-9	tetrahydrate	dihydrate; tetrahydrate	TRUE	MATCHES_HYDRATE	13478-10-9	CORRECT	CHEBI:86249	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	1197	260	skos:exactMatch	NONE
CuSO4 x 5 H2O	CHEBI:31440	copper(II) sulfate pentahydrate	1253	7758-99-8	pentahydrate	monohydrate; trihydrate; pentahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	7758-99-8	CORRECT	CHEBI:31440	OK	high	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	1176	121	skos:exactMatch	NONE
AlK(SO4)2 x 12 H2O	CHEBI:86465	potassium aluminium sulfate dodecahydrate	750	7784-24-9	dodecahydrate	dodecahydrate	TRUE	MATCHES_HYDRATE	7784-24-9	CORRECT	CHEBI:86465	OK	high	The named dodecahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	585	908	skos:exactMatch	NONE
CoSO4 x 7 H2O	CHEBI:91244	cobalt(2+) sulfate heptahydrate	693	10124-43-3	heptahydrate	monohydrate; hexahydrate; heptahydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	10026-24-1	CORRECT	CHEBI:91244	FIX_CAS	high	The named heptahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. Hydrate and anhydrous/different-hydrate CAS identities must remain separate. The current CAS is the anhydrous parent, not the stated hydrate.	771	198	skos:exactMatch	MIM
Thiamine-HCl x 2 H2O	CHEBI:132751	thiamine hydrochloride dihydrate	579	13465-05-9	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	13465-05-9	CORRECT	CHEBI:132751	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	442	77	skos:exactMatch	NONE
Na2S2O3 x 5 H2O	CHEBI:32150	sodium thiosulfate pentahydrate	458	10102-17-7	pentahydrate	pentahydrate	TRUE	MATCHES_HYDRATE	10102-17-7	CORRECT	CHEBI:32150	OK	high	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	574	65	skos:exactMatch	NONE
FeCl3 x 6 H2O	CHEBI:86254	iron trichloride hexahydrate	413	10025-77-1	hexahydrate	hexahydrate	TRUE	MATCHES_HYDRATE	10025-77-1	CORRECT	CHEBI:86254	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	431	82	skos:exactMatch	NONE
Na2HPO4 x 2 H2O	kgmicrobe.compound:na2hpo4_x_2_h2o	disodium hydrogenphosphate dihydrate	231	10028-24-7	dihydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	MATCHES_HYDRATE	10028-24-7	CORRECT	kgmicrobe.compound:na2hpo4_x_2_h2o	OK	medium	The named dihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity.	297	181	skos:exactMatch	NONE
Co(NO3)2 x 6 H2O	CHEBI:86214	cobalt dinitrate hexahydrate	192	10026-22-9	hexahydrate	hexahydrate	TRUE	MATCHES_HYDRATE	10026-22-9	CORRECT	CHEBI:86214	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	130	541	skos:exactMatch	NONE
Fe(NH4)2(SO4)2 x 6 H2O	CHEBI:76181	ferrous ammonium sulfate hexahydrate	169		hexahydrate	hexahydrate	TRUE	NO_CAS_PROVIDED	7783-85-9	CORRECT	CHEBI:76181	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees. Mohr salt hexahydrate is CAS 7783-85-9.	226	247	skos:exactMatch	NONE
Ca(NO3)2 x 4 H2O	CHEBI:86159	calcium nitrate tetrahydrate	146	13477-34-4	tetrahydrate	tetrahydrate	TRUE	MATCHES_HYDRATE	13477-34-4	CORRECT	CHEBI:86159	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	178	213	skos:exactMatch	NONE
SrCl2 x 6 H2O	CHEBI:36385	strontium dichloride hexahydrate	143	10025-70-4	hexahydrate	dihydrate; hexahydrate	TRUE	MATCHES_HYDRATE	10025-70-4	CORRECT	CHEBI:36385	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	188	176	skos:exactMatch	NONE
K2HPO4 x 3 H2O	kgmicrobe.compound:k2hpo4_x_3_h2o	dipotassium hydrogen phosphate	118	7758-11-4	trihydrate	trihydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	16788-57-1	CORRECT	kgmicrobe.compound:k2hpo4_x_3_h2o	FIX_CAS	high	The named trihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity. Hydrate and anhydrous/different-hydrate CAS identities must remain separate. The current CAS is the anhydrous parent, not the stated hydrate.	179	244	skos:exactMatch	MIM
Na2EDTA·2H2O	CHEBI:64758	EDTA disodium salt dihydrate	113	6381-92-6	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	6381-92-6	CORRECT	CHEBI:64758	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	7	NA	skos:exactMatch	NONE
Na2HPO4 x 12 H2O	kgmicrobe.compound:na2hpo4_x_12_h2o	disodium hydrogenphosphate dodecahydrate	112	10039-32-4	dodecahydrate	dihydrate; heptahydrate; dodecahydrate	TRUE	MATCHES_HYDRATE	10039-32-4	CORRECT	kgmicrobe.compound:na2hpo4_x_12_h2o	OK	medium	The named dodecahydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity.	159	95	skos:exactMatch	NONE
(NH4)2Ni(SO4)2 x 6 H2O	CHEBI:86149	ammonium nickel sulfate hexahydrate	94	56110-30-6	hexahydrate	hexahydrate	TRUE	MATCHES_HYDRATE	56110-30-6	CORRECT	CHEBI:86149	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	103	739	skos:exactMatch	NONE
CaSO4 x 2 H2O	CHEBI:32583	calcium sulfate dihydrate	86	10101-41-4	dihydrate	hemihydrate; dihydrate	TRUE	MATCHES_HYDRATE	10101-41-4	CORRECT	CHEBI:32583	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	117	190	skos:exactMatch	NONE
Na3-citrate x 2 H2O	CHEBI:32142	sodium citrate dihydrate	76	6132-04-3	dihydrate	dihydrate	TRUE	MATCHES_HYDRATE	6132-04-3	CORRECT	CHEBI:32142	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	19	2155	skos:exactMatch	NONE
VOSO4 x 2 H2O	CHEBI:87009	vanadyl sulfate dihydrate	65		dihydrate	dihydrate; trihydrate; pentahydrate	TRUE	NO_CAS_PROVIDED	UNKNOWN	CORRECT	CHEBI:87009	OK	high	The named dihydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	74	197	skos:closeMatch	NONE
MnSO4 x 4 H2O	CHEBI:86358	manganese(II) sulfate tetrahydrate	58	10101-68-5	tetrahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	10101-68-5	CORRECT	CHEBI:86358	OK	high	The named tetrahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	75	272	skos:closeMatch	NONE
Sodium phosphate monobasic monohydrate	CHEBI:114249	sodium dihydrogenphosphate monohydrate	46	10049-21-5	monohydrate	monohydrate; dihydrate	TRUE	MATCHES_HYDRATE	10049-21-5	CORRECT	CHEBI:114249	OK	high	The named monohydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	46	NA	skos:closeMatch	NONE
L-Glutamic acid monopotassium salt monohydrate	cas:6382-01-0	L-glutamic acid	44	6382-01-0	monohydrate	monohydrate	TRUE	MATCHES_HYDRATE	6382-01-0	CORRECT	cas:6382-01-0	OK	medium	The named monohydrate is a registered commercial crystal form; the CAS identity is hydrate-specific even where the parent ontology label is broader.	16	NA	skos:exactMatch	NONE
CaCl2 x 6 H2O	CHEBI:91243	calcium chloride hexahydrate	42	7774-34-7	hexahydrate	monohydrate; dihydrate; tetrahydrate; hexahydrate	TRUE	MATCHES_HYDRATE	7774-34-7	CORRECT	CHEBI:91243	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	63	173	skos:exactMatch	NONE
Nickel (II) sulfate hexahydrate	CHEBI:53437	nickel sulfate hexahydrate	37	10101-97-0	hexahydrate	hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	10101-97-0	CORRECT	CHEBI:53437	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	12	NA	skos:closeMatch	NONE
Adenine hydrochloride hydrate	cas:2922-28-3	adenine	31	2922-28-3	hydrate (unspecified stoichiometry)	hydrate (unspecified stoichiometry)	UNSPECIFIED	OTHER	UNKNOWN	CORRECT	cas:2922-28-3	NEEDS_SOURCE	low	The label says only hydrate; CAS/formula metadata does not securely establish a unique water stoichiometry, so the original recipe or supplier is required.	22	NA	skos:exactMatch	CULTUREMECH
AlCl3 x 6 H2O	CHEBI:30115	aluminium trichloride hexahydrate	31	7784-13-6	hexahydrate	hexahydrate	TRUE	MATCHES_HYDRATE	7784-13-6	CORRECT	CHEBI:30115	OK	high	The named hexahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	40	677	skos:exactMatch	NONE
MnSO4 x 5 H2O	CHEBI:131524	manganese(II) sulfate pentahydrate	31	13465-27-5	pentahydrate	monohydrate; dihydrate; tetrahydrate; pentahydrate; hexahydrate; heptahydrate	TRUE	MATCHES_HYDRATE	13465-27-5	CORRECT	CHEBI:131524	OK	high	The named pentahydrate is an established isolated form and the hydrate-specific ChEBI identity/formula agrees.	31	234	skos:closeMatch	NONE
NaH2PO4 x 2 H2O	kgmicrobe.compound:nah2po4_x_2_h2o	sodium dihydrogenphosphate	30	7558-80-7	dihydrate	monohydrate; dihydrate	TRUE	MATCHES_ANHYDROUS_WRONGLY	13472-35-0	CORRECT	kgmicrobe.compound:nah2po4_x_2_h2o	FIX_CAS	high	The named dihydrate is an established isolable form and the kg-microbe identifier preserves its distinct hydrate identity. Hydrate and anhydrous/different-hydrate CAS identities must remain separate. The current CAS is the anhydrous parent, not the stated hydrate.	53	678	skos:exactMatch	MIM
