identifier	preferred_term	target_id	target_source	canonical_label	quality	matched_via	note
CHEBI:338412	(-)-anisomycin	CHEBI:338412	CHEBI	(-)-anisomycin	EXACT_MATCH	(-)-anisomycin	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label '(-)-anisomycin'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:747005	1-chlorobutane	CHEBI:747005	CHEBI	1-chlorobutane	EXACT_MATCH	1-chlorobutane	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label '1-chlorobutane'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:747004	1-chloropropane	CHEBI:747004	CHEBI	1-chloropropane	EXACT_MATCH	1-chloropropane	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label '1-chloropropane'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:546840	4-nitrophenyl Alpha-D-galactoside	CHEBI:546840	CHEBI	4-nitrophenyl alpha-D-galactoside	EXACT_MATCH	4-nitrophenyl Alpha-D-galactoside	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label '4-nitrophenyl alpha-D-galactoside'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:474053	Cefazolin	CHEBI:474053	CHEBI	cefazolin	EXACT_MATCH	Cefazolin	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'cefazolin'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:478164	Cefepime	CHEBI:478164	CHEBI	cefepime	EXACT_MATCH	Cefepime	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'cefepime'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:472657	Cefixime	CHEBI:472657	CHEBI	cefixime	EXACT_MATCH	Cefixime	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'cefixime'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:355510	Cefotiam	CHEBI:355510	CHEBI	cefotiam	EXACT_MATCH	Cefotiam	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'cefotiam'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:404903	Ertapenem	CHEBI:404903	CHEBI	ertapenem	EXACT_MATCH	Ertapenem	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'ertapenem'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:495056	Gamma-cyclodextrin	CHEBI:495056	CHEBI	gamma-cyclodextrin	EXACT_MATCH	Gamma-cyclodextrin	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'gamma-cyclodextrin'); id-label gate passes locally-resolving ids above the 300000 ceiling.
CHEBI:471744	Imipenem	CHEBI:471744	CHEBI	imipenem	EXACT_MATCH	Imipenem	Re-ground: over-demoted by import ceiling-only rule; id resolves locally (label 'imipenem'); id-label gate passes locally-resolving ids above the 300000 ceiling.
